Starting simulation N=40, F_final=0.5, alpha=0.001

--- Phase 1: Adiabatic F ramp (mu fixed at 5.0) ---
Averaging task (ID 1) for mu=5.0 completed. Results saved to output_N40_mu5.0.txt
Mu-Ramp Step: 5600, Time in Mu-Ramp: 59.9, Current mu: 4.94, Max bond dimensions: 4
Mu-Ramp Step: 5650, Time in Mu-Ramp: 64.9, Current mu: 4.935, Max bond dimensions: 4
Mu-Ramp Step: 5700, Time in Mu-Ramp: 69.9, Current mu: 4.93, Max bond dimensions: 4
Mu-Ramp Step: 5750, Time in Mu-Ramp: 74.9, Current mu: 4.925, Max bond dimensions: 4
Mu-Ramp Step: 5800, Time in Mu-Ramp: 79.9, Current mu: 4.92, Max bond dimensions: 4
Mu-Ramp Step: 5850, Time in Mu-Ramp: 84.9, Current mu: 4.915, Max bond dimensions: 4
Mu-Ramp Step: 5900, Time in Mu-Ramp: 89.9, Current mu: 4.91, Max bond dimensions: 4
Mu-Ramp Step: 5950, Time in Mu-Ramp: 94.9, Current mu: 4.905, Max bond dimensions: 4
Mu-Ramp Step: 6000, Time in Mu-Ramp: 99.9, Current mu: 4.9, Max bond dimensions: 4
Scheduling averaging task (ID 2) for mu=4.9 at overall step 6001.
Mu-Ramp Step: 6050, Time in Mu-Ramp: 104.9, Current mu: 4.895, Max bond dimensions: 4
Mu-Ramp Step: 6100, Time in Mu-Ramp: 109.9, Current mu: 4.89, Max bond dimensions: 4
Mu-Ramp Step: 6150, Time in Mu-Ramp: 114.9, Current mu: 4.885, Max bond dimensions: 4
Mu-Ramp Step: 6200, Time in Mu-Ramp: 119.9, Current mu: 4.88, Max bond dimensions: 4
Mu-Ramp Step: 6250, Time in Mu-Ramp: 124.9, Current mu: 4.875, Max bond dimensions: 4
Mu-Ramp Step: 6300, Time in Mu-Ramp: 129.9, Current mu: 4.87, Max bond dimensions: 4
Mu-Ramp Step: 6350, Time in Mu-Ramp: 134.9, Current mu: 4.865, Max bond dimensions: 4
Mu-Ramp Step: 6400, Time in Mu-Ramp: 139.9, Current mu: 4.86, Max bond dimensions: 4
Mu-Ramp Step: 6450, Time in Mu-Ramp: 144.9, Current mu: 4.855, Max bond dimensions: 4
Mu-Ramp Step: 6500, Time in Mu-Ramp: 149.9, Current mu: 4.85, Max bond dimensions: 4
Averaging task (ID 2) for mu=4.9 completed. Results saved to output_N40_mu4.9.txt
Mu-Ramp Step: 6550, Time in Mu-Ramp: 154.9, Current mu: 4.845, Max bond dimensions: 4
Mu-Ramp Step: 6600, Time in Mu-Ramp: 159.9, Current mu: 4.84, Max bond dimensions: 4
Mu-Ramp Step: 6650, Time in Mu-Ramp: 164.9, Current mu: 4.835, Max bond dimensions: 4
Mu-Ramp Step: 6700, Time in Mu-Ramp: 169.9, Current mu: 4.83, Max bond dimensions: 4
Mu-Ramp Step: 6750, Time in Mu-Ramp: 174.9, Current mu: 4.825, Max bond dimensions: 4
Mu-Ramp Step: 6800, Time in Mu-Ramp: 179.9, Current mu: 4.82, Max bond dimensions: 4
